genes,adjusted_rank,confidence,gene
IRX3,1,1.0,KEAP1
HES2,2,1.0,KEAP1
SIRT3,3,1.0,KEAP1
ZNF560,4,1.0,KEAP1
ARID5B,5,1.0,KEAP1
RBM15,6,1.0,KEAP1
ZNF322,7,1.0,KEAP1
CHAF1B,8,1.0,KEAP1
EPC1,9,0.8888888888888888,KEAP1
ZNF561,10,0.9,KEAP1
PSMB5,11,0.9090909090909091,KEAP1
ARNT2,12,0.8333333333333334,KEAP1
LMNB2,13,0.8461538461538461,KEAP1
ZNF7,14,0.7857142857142857,KEAP1
SMARCA1,15,0.8,KEAP1
MTHFD1,16,0.8125,KEAP1
TSHZ1,17,0.7647058823529411,KEAP1
ATXN7L3,18,0.7777777777777778,KEAP1
PSIP1,19,0.7894736842105263,KEAP1
ZNF136,20,0.8,KEAP1
CASP8AP2,21,0.7619047619047619,KEAP1
ZNF404,22,0.7272727272727273,KEAP1
ZNF774,23,0.6956521739130435,KEAP1
ZNF597,24,0.7083333333333334,KEAP1
CDC73,25,0.72,KEAP1
ZNF502,26,0.6923076923076923,KEAP1
ZFP28,27,0.7037037037037037,KEAP1
ZNF768,28,0.7142857142857143,KEAP1
ZNF512,29,0.6896551724137931,KEAP1
THRA,30,0.7,KEAP1
ZNF510,31,0.7096774193548387,KEAP1
PRDM4,32,0.71875,KEAP1
TEAD2,33,0.696969696969697,KEAP1
ZNF791,34,0.6764705882352942,KEAP1
FOXD2,35,0.6857142857142857,KEAP1
ASH1L,36,0.6666666666666666,KEAP1
DLX2,37,0.6486486486486487,KEAP1
EGFR,38,0.631578947368421,KEAP1
ASXL2,39,0.6410256410256411,KEAP1
SQSTM1,40,0.625,KEAP1
ALKBH3,41,0.6341463414634146,KEAP1
ZNF563,42,0.6190476190476191,KEAP1
ZBED4,43,0.6046511627906976,KEAP1
ZBTB12,44,0.6136363636363636,KEAP1
TOX4,45,0.6,KEAP1
SALL4,46,0.6086956521739131,KEAP1
MAPK3,47,0.6170212765957447,KEAP1
GUCY1B1,48,0.6041666666666666,KEAP1
ZNF514,49,0.6122448979591837,KEAP1
HMGB2,50,0.62,KEAP1
ZNF250,51,0.6274509803921569,KEAP1
ZNF830,52,0.6346153846153846,KEAP1
MEF2C,53,0.6415094339622641,KEAP1
BCL6B,54,0.6296296296296297,KEAP1
ZNF660,55,0.6363636363636364,KEAP1
ZSCAN23,56,0.625,KEAP1
TFEB,57,0.6140350877192983,KEAP1
HJURP,58,0.6206896551724138,KEAP1
AHRR,59,0.6101694915254238,KEAP1
FXR1,60,0.6,KEAP1
ZNF140,61,0.6065573770491803,KEAP1
ZNF746,62,0.5967741935483871,KEAP1
PCGF1,63,0.6031746031746031,KEAP1
POU2AF1,64,0.609375,KEAP1
CDH4,65,0.6,KEAP1
KDM1B,66,0.6060606060606061,KEAP1
ZNF529,67,0.5970149253731343,KEAP1
FOXC1,68,0.5882352941176471,KEAP1
ZNF740,69,0.5942028985507246,KEAP1
OVOL3,70,0.5857142857142857,KEAP1
ZNF260,71,0.5774647887323944,KEAP1
ZSCAN31,72,0.5833333333333334,KEAP1
MED16,73,0.589041095890411,KEAP1
LHX3,74,0.581081081081081,KEAP1
MEF2D,75,0.5866666666666667,KEAP1
HMG20B,76,0.5789473684210527,KEAP1
ADNP,77,0.5844155844155844,KEAP1
ZNF589,78,0.5897435897435898,KEAP1
ZNF512B,79,0.5822784810126582,KEAP1
RYBP,80,0.575,KEAP1
SVIL,81,0.5802469135802469,KEAP1
ZNF394,82,0.573170731707317,KEAP1
ZNF423,83,0.5783132530120482,KEAP1
CUX1,84,0.5833333333333334,KEAP1
CHAF1A,85,0.5764705882352941,KEAP1
CARM1,86,0.5697674418604651,KEAP1
ZBTB5,87,0.5632183908045977,KEAP1
MAFG,88,0.5681818181818182,KEAP1
ZNF10,89,0.5730337078651685,KEAP1
GTF2A2,90,0.5777777777777777,KEAP1
TBX3,91,0.5824175824175825,KEAP1
CC2D1A,92,0.5760869565217391,KEAP1
EMX1,93,0.5698924731182796,KEAP1
HOXA13,94,0.5638297872340425,KEAP1
ZNF213,95,0.5684210526315789,KEAP1
WRNIP1,96,0.5625,KEAP1
HHEX,97,0.5567010309278351,KEAP1
PAX6,98,0.5612244897959183,KEAP1
TOP2B,99,0.5555555555555556,KEAP1
GTF2E2,100,0.56,KEAP1
ZNF547,101,0.5643564356435643,KEAP1
EWSR1,102,0.5588235294117647,KEAP1
ZNF175,103,0.5631067961165048,KEAP1
NAB2,104,0.5673076923076923,KEAP1
ZNF134,105,0.5714285714285714,KEAP1
KMT2D,106,0.5754716981132075,KEAP1
ZNF584,107,0.5700934579439252,KEAP1
LHX9,108,0.5740740740740741,KEAP1
TAFAZZIN,109,0.5688073394495413,KEAP1
MNX1,110,0.5636363636363636,KEAP1
NKX6_1,111,0.5675675675675675,KEAP1
ZNF558,112,0.5625,KEAP1
PAX8,113,0.5663716814159292,KEAP1
FOXG1,114,0.5614035087719298,KEAP1
TFCP2,115,0.5565217391304348,KEAP1
ATF6,116,0.5517241379310345,KEAP1
IRX2,117,0.5470085470085471,KEAP1
TERT,118,0.5423728813559322,KEAP1
ZNF549,119,0.5378151260504201,KEAP1
HES4,120,0.5333333333333333,KEAP1
SNRNP70,121,0.5371900826446281,KEAP1
RPA1,122,0.5327868852459017,KEAP1
ZSCAN5C,123,0.5284552845528455,KEAP1
FOXE1,124,0.5241935483870968,KEAP1
SUPT16H,125,0.52,KEAP1
HOXA10,126,0.5158730158730159,KEAP1
MED25,127,0.5118110236220472,KEAP1
ZSCAN30,128,0.5078125,KEAP1
LHX4,129,0.5038759689922481,KEAP1
FEV,130,0.5,KEAP1
ZBTB18,131,0.4961832061068702,KEAP1
ZNF362,132,0.49242424242424243,KEAP1
ZNF165,133,0.48872180451127817,KEAP1
ERCC8,134,0.4925373134328358,KEAP1
ZNF445,135,0.4962962962962963,KEAP1
RFX7,136,0.49264705882352944,KEAP1
MIER1,137,0.48905109489051096,KEAP1
ZBTB44,138,0.4927536231884058,KEAP1
ZNF596,139,0.49640287769784175,KEAP1
DBP,140,0.4928571428571429,KEAP1
ZNF581,141,0.49645390070921985,KEAP1
MXD1,142,0.49295774647887325,KEAP1
ZBTB1,143,0.4965034965034965,KEAP1
SOX3,144,0.4930555555555556,KEAP1
ZSCAN21,145,0.4896551724137931,KEAP1
IGLV5_37,146,0.4863013698630137,KEAP1
ID2,147,0.48299319727891155,KEAP1
NEUROG3,148,0.4797297297297297,KEAP1
ZNF202,149,0.47651006711409394,KEAP1
HOXC11,150,0.47333333333333333,KEAP1
F10,151,0.47019867549668876,KEAP1
ZNF610,152,0.46710526315789475,KEAP1
SIX1,153,0.46405228758169936,KEAP1
