Gene Names,Gene Ontology (biological process),Gene Ontology (cellular component),Gene Ontology (molecular function),Protein families
A1BG,immune response-regulating signaling pathway ,blood microparticle ; collagen-containing extracellular matrix ; extracellular exosome ; extracellular region ; extracellular space ; ficolin-1-rich granule lumen ; plasma membrane ; platelet alpha granule lumen ; secretory granule lumen ,,
A1CF,"chromosomal 5-methylcytosine DNA demethylation pathway ; cytidine to uridine editing ; embryo implantation ; mRNA localization resulting in post-transcriptional regulation of gene expression ; mRNA modification ; mRNA processing ; negative regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay ; protein stabilization ",apolipoprotein B mRNA editing enzyme complex ; cytoplasm ; endoplasmic reticulum ; mRNA editing complex ; nucleoplasm ; nucleus ,enzyme-substrate adaptor activity ; mRNA binding ; RNA binding ; single-stranded RNA binding ,
ACF,"chromosomal 5-methylcytosine DNA demethylation pathway ; cytidine to uridine editing ; embryo implantation ; mRNA localization resulting in post-transcriptional regulation of gene expression ; mRNA modification ; mRNA processing ; negative regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay ; protein stabilization ",apolipoprotein B mRNA editing enzyme complex ; cytoplasm ; endoplasmic reticulum ; mRNA editing complex ; nucleoplasm ; nucleus ,enzyme-substrate adaptor activity ; mRNA binding ; RNA binding ; single-stranded RNA binding ,
ASP,"chromosomal 5-methylcytosine DNA demethylation pathway ; cytidine to uridine editing ; embryo implantation ; mRNA localization resulting in post-transcriptional regulation of gene expression ; mRNA modification ; mRNA processing ; negative regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay ; protein stabilization ",apolipoprotein B mRNA editing enzyme complex ; cytoplasm ; endoplasmic reticulum ; mRNA editing complex ; nucleoplasm ; nucleus ,enzyme-substrate adaptor activity ; mRNA binding ; RNA binding ; single-stranded RNA binding ,
A2ML1,regulation of endopeptidase activity ,extracellular exosome ; extracellular space ,peptidase inhibitor activity ; serine-type endopeptidase inhibitor activity ,Protease inhibitor I39 (alpha-2-macroglobulin) family
CPAMD9,regulation of endopeptidase activity ,extracellular exosome ; extracellular space ,peptidase inhibitor activity ; serine-type endopeptidase inhibitor activity ,Protease inhibitor I39 (alpha-2-macroglobulin) family
A2M,"negative regulation of complement activation, lectin pathway ; stem cell differentiation ",blood microparticle ; collagen-containing extracellular matrix ; extracellular exosome ; extracellular region ; extracellular space ; platelet alpha granule lumen ,calcium-dependent protein binding ; endopeptidase inhibitor activity ; enzyme binding ; growth factor binding ; interleukin-1 binding ; interleukin-8 binding ; protease binding ; serine-type endopeptidase inhibitor activity ; signaling receptor binding ; tumor necrosis factor binding ,Protease inhibitor I39 (alpha-2-macroglobulin) family
CPAMD5,"negative regulation of complement activation, lectin pathway ; stem cell differentiation ",blood microparticle ; collagen-containing extracellular matrix ; extracellular exosome ; extracellular region ; extracellular space ; platelet alpha granule lumen ,calcium-dependent protein binding ; endopeptidase inhibitor activity ; enzyme binding ; growth factor binding ; interleukin-1 binding ; interleukin-8 binding ; protease binding ; serine-type endopeptidase inhibitor activity ; signaling receptor binding ; tumor necrosis factor binding ,Protease inhibitor I39 (alpha-2-macroglobulin) family
FWP007,"negative regulation of complement activation, lectin pathway ; stem cell differentiation ",blood microparticle ; collagen-containing extracellular matrix ; extracellular exosome ; extracellular region ; extracellular space ; platelet alpha granule lumen ,calcium-dependent protein binding ; endopeptidase inhibitor activity ; enzyme binding ; growth factor binding ; interleukin-1 binding ; interleukin-8 binding ; protease binding ; serine-type endopeptidase inhibitor activity ; signaling receptor binding ; tumor necrosis factor binding ,Protease inhibitor I39 (alpha-2-macroglobulin) family
A3GALT2,carbohydrate metabolic process ; glycosphingolipid biosynthetic process ; lipid glycosylation ,Golgi apparatus ; Golgi cisterna membrane ; vesicle ,glycosyltransferase activity ; metal ion binding ; N-acetyllactosaminide 3-alpha-galactosyltransferase activity ,Glycosyltransferase 6 family
