cluster,annotation_type,gene
0,PTM - Phosphothreonine,A1CF
1,binds to CAVIN2,A1CF
2,binds to CAVIN2,A1CF
3,binds to APOBEC1,A1CF
1,binds to ADAMTS12,A2M
2,binds to ACTB,A2M
3,binds to ACTB,A2M
4,binds to ANXA7,A2M
5,binds to ADAMTS12,A2M
0,Binding site,A3GALT2
1,Binding site,A3GALT2
2,Binding site,A3GALT2
3,Binding site,A3GALT2
4,Binding site,A3GALT2
5,Binding site,A3GALT2
0,PTM - N-acetylcysteine,AAAS
1,PTM - N-acetylcysteine,AAAS
2,binds to NUP133,AAAS
3,PTM - N-acetylcysteine,AAAS
4,PTM - N-acetylcysteine,AAAS
5,PTM - N-acetylcysteine,AAAS
1,Active site,AADACL2
4,Active site,AADACL2
5,Active site,AADACL2
0,Active site,AADACL3
1,Active site,AADACL3
2,Active site,AADACL3
3,Active site,AADACL3
4,Active site,AADACL3
5,Active site,AADACL3
0,Active site,AADACL4
1,Active site,AADACL4
2,Active site,AADACL4
3,Active site,AADACL4
4,Active site,AADACL4
5,Active site,AADACL4
0,Active site,AADAC
1,Active site,AADAC
2,Active site,AADAC
3,Active site,AADAC
4,Active site,AADAC
5,Active site,AADAC
1,Binding site,AADAT
3,Binding site,AADAT
4,PTM - N6-acetyllysine,AADAT
0,PTM - Phosphoserine,AAGAB
1,PTM - Phosphoserine,AAGAB
2,PTM - Phosphoserine,AAGAB
3,PTM - Phosphoserine,AAGAB
4,PTM - Phosphoserine,AAGAB
5,PTM - Phosphoserine,AAGAB
0,binds to ATP13A2,AAK1
1,binds to ATP13A2,AAK1
2,Active site,AAK1
3,binds to ATP13A2,AAK1
4,binds to ATP13A2,AAK1
5,binds to ATP13A2,AAK1
0,PTM - Phosphoserine,AAMP
1,PTM - Phosphoserine,AAMP
2,PTM - Phosphoserine,AAMP
3,PTM - Phosphoserine,AAMP
4,PTM - Phosphoserine,AAMP
5,PTM - Phosphoserine,AAMP
0,PTM - Phosphothreonine; by PKA,AANAT
1,binds to YWHAZ,AANAT
2,PTM - Phosphothreonine; by PKA,AANAT
3,binds to MDFI,AANAT
4,binds to BHLHE40,AANAT
5,binds to YWHAZ,AANAT
0,PTM - N-acetylalanine,AAR2
1,PTM - N-acetylalanine,AAR2
2,PTM - N-acetylalanine,AAR2
3,PTM - N-acetylalanine,AAR2
4,PTM - N-acetylalanine,AAR2
5,PTM - N-acetylalanine,AAR2
0,Binding site,AARS2
1,Binding site,AARS2
2,Binding site,AARS2
4,Binding site,AARS2
5,Binding site,AARS2
0,binds to PPP1R14B,AARSD1
1,binds to RPUSD2,AARSD1
2,binds to MCM7,AARSD1
3,binds to THG1L,AARSD1
4,binds to GTF3C5,AARSD1
5,binds to ARAF,AARSD1
0,binds to SGTA,AASDHPPT
1,binds to FASN,AASDHPPT
2,binds to TRIP13,AASDHPPT
3,binds to ADSS2,AASDHPPT
0,Binding site,AASDH
1,Binding site,AASDH
2,Binding site,AASDH
3,Binding site,AASDH
4,PTM - O-(pantetheine 4'-phosphoryl)serine,AASDH
5,Binding site,AASDH
0,Binding site,AASS
1,Binding site,AASS
2,Binding site,AASS
3,Binding site,AASS
4,Binding site,AASS
0,PTM - N-acetylalanine,AATF
1,binds to DDX52,AATF
2,binds to ATM,AATF
3,binds to CHEK1,AATF
4,PTM - N-acetylalanine,AATF
5,PTM - N-acetylalanine,AATF
0,Binding site,AATK
1,Active site,AATK
2,Active site,AATK
3,Binding site,AATK
4,Active site,AATK
5,PTM - Phosphoserine,AATK
0,binds to ENO1,ABAT
1,binds to AKR1B1,ABAT
2,binds to RAD23B,ABAT
4,binds to ADSL,ABAT
0,Binding site,ABCA10
1,Binding site,ABCA10
2,Binding site,ABCA10
3,Binding site,ABCA10
4,Binding site,ABCA10
5,Binding site,ABCA10
0,Binding site,ABCA12
1,Binding site,ABCA12
2,Binding site,ABCA12
3,Binding site,ABCA12
4,Binding site,ABCA12
5,Binding site,ABCA12
0,Binding site,ABCA1
1,Binding site,ABCA1
2,Binding site,ABCA1
3,Binding site,ABCA1
4,Binding site,ABCA1
5,Binding site,ABCA1
0,Binding site,ABCA2
1,PTM - N5-methylglutamine,ABCA2
2,Binding site,ABCA2
3,Binding site,ABCA2
4,Binding site,ABCA2
5,Binding site,ABCA2
0,Sensor for electrophilic agents,ABCA3
1,Binding site,ABCA3
2,Binding site,ABCA3
3,Binding site,ABCA3
4,Binding site,ABCA3
5,Binding site,ABCA3
0,Binding site,ABCA4
1,Binding site,ABCA4
2,Binding site,ABCA4
3,Binding site,ABCA4
4,PTM - Phosphothreonine,ABCA4
5,Binding site,ABCA4
0,Binding site,ABCA5
1,Binding site,ABCA5
2,Binding site,ABCA5
3,Binding site,ABCA5
4,Binding site,ABCA5
5,Binding site,ABCA5
0,Binding site,ABCA6
1,Binding site,ABCA6
2,Binding site,ABCA6
3,Binding site,ABCA6
4,Binding site,ABCA6
5,Binding site,ABCA6
0,Binding site,ABCA7
1,Binding site,ABCA7
2,Binding site,ABCA7
3,Binding site,ABCA7
4,Binding site,ABCA7
5,Binding site,ABCA7
0,Binding site,ABCA8
1,Binding site,ABCA8
2,Binding site,ABCA8
3,Binding site,ABCA8
4,Binding site,ABCA8
5,Binding site,ABCA8
0,Binding site,ABCA9
1,Binding site,ABCA9
2,Binding site,ABCA9
3,Binding site,ABCA9
4,Binding site,ABCA9
5,Binding site,ABCA9
0,binds to BAK1,ABCB10
1,binds to NDUFA2,ABCB10
4,binds to NDUFA2,ABCB10
0,binds to LY6D,ABCB11
1,binds to HAX1,ABCB11
2,binds to LY6D,ABCB11
3,binds to LY6D,ABCB11
4,binds to HAX1,ABCB11
5,binds to HAX1,ABCB11
0,binds to CAV1,ABCB1
1,binds to CD4,ABCB1
2,binds to BCCIP,ABCB1
3,Binding site,ABCB1
4,binds to BCCIP,ABCB1
5,binds to CD4,ABCB1
0,binds to PIGY,ABCB4
1,binds to HAX1,ABCB4
2,binds to PIGY,ABCB4
3,binds to HAX1,ABCB4
4,binds to PIGY,ABCB4
5,binds to HAX1,ABCB4
0,binds to PSMB5,ABCB5
1,binds to PSMB5,ABCB5
2,binds to PSMB5,ABCB5
3,binds to PSMB5,ABCB5
4,binds to PSMB5,ABCB5
5,binds to PSMB5,ABCB5
0,binds to PIK3R3,ABCB6
1,binds to TOMM40,ABCB6
2,Binding site,ABCB6
3,Binding site,ABCB6
4,Binding site,ABCB6
5,binds to PIK3R3,ABCB6
0,Binding site,ABCB7
1,Binding site,ABCB7
2,Binding site,ABCB7
4,Binding site,ABCB7
0,binds to PROCR,ABCB8
1,binds to BPNT2,ABCB8
2,Binding site,ABCB8
3,binds to MTERF3,ABCB8
4,binds to BPNT2,ABCB8
5,binds to MTERF3,ABCB8
0,binds to DDX60L,ABCB9
1,binds to DDX60L,ABCB9
2,binds to DDX60L,ABCB9
3,binds to DDX60L,ABCB9
4,binds to DDX60L,ABCB9
5,binds to DDX60L,ABCB9
0,Binding site,ABCC10
1,PTM - Phosphothreonine,ABCC10
2,Binding site,ABCC10
3,Binding site,ABCC10
4,Binding site,ABCC10
5,Binding site,ABCC10
0,Binding site,ABCC11
1,Binding site,ABCC11
2,Binding site,ABCC11
3,Binding site,ABCC11
4,Binding site,ABCC11
0,Binding site,ABCC12
1,Binding site,ABCC12
2,Binding site,ABCC12
3,Binding site,ABCC12
4,Binding site,ABCC12
5,Binding site,ABCC12
0,PTM - Phosphotyrosine,ABCC1
1,binds to ATP6V1F,ABCC1
2,PTM - Phosphotyrosine,ABCC1
3,binds to ATP6V1F,ABCC1
4,PTM - Phosphotyrosine,ABCC1
0,Binding site,ABCC2
1,Binding site,ABCC2
2,Binding site,ABCC2
3,Binding site,ABCC2
4,Binding site,ABCC2
5,Binding site,ABCC2
0,PTM - Phosphoserine,ABCC3
1,Binding site,ABCC3
2,Binding site,ABCC3
3,Binding site,ABCC3
4,Binding site,ABCC3
5,Binding site,ABCC3
0,binds to ERBIN,ABCC4
1,binds to ERBIN,ABCC4
2,binds to ERBIN,ABCC4
3,binds to ERBIN,ABCC4
4,binds to ERBIN,ABCC4
5,Binding site,ABCC4
0,Binding site,ABCC5
1,Binding site,ABCC5
2,Binding site,ABCC5
3,Binding site,ABCC5
4,PTM - Phosphoserine,ABCC5
5,Binding site,ABCC5
0,Binding site,ABCC6
1,PTM - Phosphoserine,ABCC6
2,Binding site,ABCC6
3,Binding site,ABCC6
4,Binding site,ABCC6
5,Binding site,ABCC6
0,Binding site,ABCC8
1,Binding site,ABCC8
2,Binding site,ABCC8
3,Binding site,ABCC8
4,Binding site,ABCC8
5,Binding site,ABCC8
0,Binding site,ABCC9
1,Binding site,ABCC9
2,Binding site,ABCC9
3,Binding site,ABCC9
4,Binding site,ABCC9
5,Binding site,ABCC9
0,Binding site,ABCD1
1,Binding site,ABCD1
2,Binding site,ABCD1
3,Binding site,ABCD1
4,Binding site,ABCD1
5,Binding site,ABCD1
0,Binding site,ABCD2
1,Binding site,ABCD2
2,Binding site,ABCD2
3,Binding site,ABCD2
4,Binding site,ABCD2
5,Binding site,ABCD2
0,Binding site,ABCD3
1,PTM - N6-acetyllysine,ABCD3
2,Binding site,ABCD3
3,Binding site,ABCD3
4,Binding site,ABCD3
5,Binding site,ABCD3
0,binds to PEA15,ABCD4
1,binds to DLEU1,ABCD4
2,Binding site,ABCD4
3,binds to DLEU1,ABCD4
4,binds to DLEU1,ABCD4
5,binds to PEA15,ABCD4
0,binds to DIABLO,ABCE1
1,binds to DIABLO,ABCE1
2,binds to AP1B1,ABCE1
3,binds to AP1B1,ABCE1
4,Binding site,ABCE1
5,binds to RPS3A,ABCE1
0,Binding site,ABCF1
1,Binding site,ABCF1
2,PTM - Phosphoserine,ABCF1
3,Binding site,ABCF1
4,Binding site,ABCF1
5,Binding site,ABCF1
0,binds to SIRT6,ABCF2
1,binds to EIF2S3,ABCF2
2,binds to ABCF3,ABCF2
3,binds to ABCF3,ABCF2
4,binds to SIRT6,ABCF2
5,binds to ABCF3,ABCF2
0,Binding site,ABCF3
1,PTM - N-acetylalanine,ABCF3
2,Binding site,ABCF3
3,Binding site,ABCF3
4,Binding site,ABCF3
5,Binding site,ABCF3
0,Binding site,ABCG1
1,Binding site,ABCG1
2,Binding site,ABCG1
3,Binding site,ABCG1
4,Binding site,ABCG1
5,Binding site,ABCG1
0,Binding site,ABCG2
1,Sensor for electrophilic agents,ABCG2
2,Binding site,ABCG2
3,Binding site,ABCG2
4,Binding site,ABCG2
5,Binding site,ABCG2
0,Binding site,ABCG4
1,Binding site,ABCG4
2,Binding site,ABCG4
3,Binding site,ABCG4
4,Binding site,ABCG4
5,Binding site,ABCG4
0,Binding site,ABCG5
1,Binding site,ABCG5
2,Binding site,ABCG5
3,Binding site,ABCG5
4,Binding site,ABCG5
1,Active site,ABHD10
3,Active site,ABHD10
0,Active site,ABHD11
1,Active site,ABHD11
2,PTM - N6-succinyllysine,ABHD11
4,Active site,ABHD11
5,Active site,ABHD11
0,Active site,ABHD12
1,Active site,ABHD12
2,Active site,ABHD12
3,Active site,ABHD12
4,Active site,ABHD12
5,Active site,ABHD12
0,Active site,ABHD13
1,Active site,ABHD13
2,Active site,ABHD13
3,Active site,ABHD13
4,Active site,ABHD13
5,Active site,ABHD13
0,binds to PFAS,ABHD14A
1,binds to CTSA,ABHD14A
2,binds to GINS3,ABHD14A
3,Active site,ABHD14A
4,Active site,ABHD14A
5,Active site,ABHD14A
0,Active site,ABHD14B
1,Active site,ABHD14B
2,Active site,ABHD14B
3,Active site,ABHD14B
4,Active site,ABHD14B
5,PTM - N-acetylalanine,ABHD14B
1,PTM - Phosphoserine,ABHD15
3,Active site,ABHD15
4,Active site,ABHD15
5,Active site,ABHD15
0,binds to TMEM147,ABHD16A
1,Active site,ABHD16A
2,Active site,ABHD16A
3,Active site,ABHD16A
4,Active site,ABHD16A
5,Active site,ABHD16A
0,Active site,ABHD16B
1,Active site,ABHD16B
2,Active site,ABHD16B
3,Active site,ABHD16B
4,Active site,ABHD16B
5,Active site,ABHD16B
0,PTM - Phosphoserine,ABHD17A
1,Active site,ABHD17A
2,Active site,ABHD17A
3,Active site,ABHD17A
4,Active site,ABHD17A
0,Active site,ABHD17B
1,PTM - Phosphoserine,ABHD17B
2,Active site,ABHD17B
3,Active site,ABHD17B
4,Active site,ABHD17B
5,Active site,ABHD17B
0,Active site,ABHD17C
1,Active site,ABHD17C
2,Active site,ABHD17C
3,Active site,ABHD17C
4,Active site,ABHD17C
5,Active site,ABHD17C
0,Active site,ABHD1
1,Active site,ABHD1
2,Active site,ABHD1
3,Active site,ABHD1
4,Active site,ABHD1
5,Active site,ABHD1
