TF,Family/Class,Function label,Supporting terms,Confidence,Group10
E2F2,E2F,Cell cycle,Proliferation,10,General/core transcription
E2F5,E2F,Cell cycle / DNA replication,G1/S control; replication genes,10,General/core transcription
IRF5,IRF,Interferon/antiviral response,Type I/II IFN pathways,10,General/core transcription
PPARA,Nuclear receptor,Lipid metabolism / fatty acid oxidation,Peroxisomal β-oxidation; fasting response,10,General/core transcription
NR1I2,Nuclear receptor (PXR),Xenobiotic detoxification,CYP3A; drug metabolism,10,Stress responses (oxidative/UPR/ER/proteostasis)
AHRR,bHLH-PAS,Xenobiotic response (repressor),AHR repressor; feedback on xenobiotic signaling,10,Stress responses (oxidative/UPR/ER/proteostasis)
MXD1,bHLH-ZIP,MYC antagonist / repression,MAX competitor; differentiation,10,General/core transcription
NRF2,bZIP (Cap'n'collar),Oxidative stress / xenobiotic detox,"ARE-driven detox genes (GSTM, NQO1)",10,Stress responses (oxidative/UPR/ER/proteostasis)
TEAD2,TEAD,Hippo signaling / growth control,YAP/TAZ coactivation,9,General/core transcription
NFE2L1,bZIP,Proteostasis / mitochondrial biogenesis,Proteasome genes; stress,9,General/core transcription
ATF5,bZIP (AP-1/ATF/MAF),Stress response / differentiation,AP-1; MAPK signaling,9,Stress responses (oxidative/UPR/ER/proteostasis)
ATF6,bZIP (AP-1/ATF/MAF),Stress response / differentiation,AP-1; MAPK signaling,9,Stress responses (oxidative/UPR/ER/proteostasis)
MAFG,bZIP (AP-1/ATF/MAF),Stress response / differentiation,AP-1; MAPK signaling,9,Stress responses (oxidative/UPR/ER/proteostasis)
CEBPE,bZIP (CEBP),Inflammation / myeloid differentiation,Acute phase; macrophage,9,General/core transcription
CEBPZ,bZIP (CEBP),Inflammation / myeloid differentiation,Acute phase; macrophage,9,General/core transcription
SNAI1,EMT TFs,Epithelial–mesenchymal transition,Invasion/metastasis; development,8,General/core transcription
HOXA1,Homeobox (HOX),Body patterning / development,Anterior-posterior identity,8,Developmental homeobox/lineage TFs
HOXA10,Homeobox (HOX),Body patterning / development,Anterior-posterior identity,8,Developmental homeobox/lineage TFs
HOXA13,Homeobox (HOX),Body patterning / development,Anterior-posterior identity,8,Developmental homeobox/lineage TFs
HOXA7,Homeobox (HOX),Body patterning / development,Anterior-posterior identity,8,Developmental homeobox/lineage TFs
HOXB4,Homeobox (HOX),Body patterning / development,Anterior-posterior identity,8,Developmental homeobox/lineage TFs
HOXB6,Homeobox (HOX),Body patterning / development,Anterior-posterior identity,8,Developmental homeobox/lineage TFs
HOXB7,Homeobox (HOX),Body patterning / development,Anterior-posterior identity,8,Developmental homeobox/lineage TFs
HOXC11,Homeobox (HOX),Body patterning / development,Anterior-posterior identity,8,Developmental homeobox/lineage TFs
HOXC13,Homeobox (HOX),Body patterning / development,Anterior-posterior identity,8,Developmental homeobox/lineage TFs
HOXC6,Homeobox (HOX),Body patterning / development,Anterior-posterior identity,8,Developmental homeobox/lineage TFs
HOXD1,Homeobox (HOX),Body patterning / development,Anterior-posterior identity,8,Developmental homeobox/lineage TFs
HOXD11,Homeobox (HOX),Body patterning / development,Anterior-posterior identity,8,Developmental homeobox/lineage TFs
MEF2C,MADS-box,Muscle differentiation / activity-dependent,Cardiac/skeletal muscle genes,8,General/core transcription
MEF2D,MADS-box,Muscle differentiation / activity-dependent,Cardiac/skeletal muscle genes,8,General/core transcription
HES2,bHLH (Notch effectors),Notch signaling / differentiation,Lateral inhibition,8,General/core transcription
HES4,bHLH (Notch effectors),Notch signaling / differentiation,Lateral inhibition,8,General/core transcription
HEY2,bHLH (Notch effectors),Notch signaling / differentiation,Lateral inhibition,8,General/core transcription
FOXO4,Forkhead (FOX),Stress/cell cycle/differentiation (FOX-specific),FOXO stress; FOXM1 mitosis; FOXA pioneer,7,General/core transcription
SOX10,HMG (SOX),Stemness / development,Neural/chondrogenic differentiation,7,General/core transcription
SOX11,HMG (SOX),Stemness / development,Neural/chondrogenic differentiation,7,General/core transcription
